story_id,area,feature,user_story,expected_behavior_from_code,source_evidence,test_approach,story_status,initial_test_status,initial_errors,fix_status,retest_status,notes,row_type,parent_story_id,parent_feature,gap_category,priority,user_role,user_impact,acceptance_criteria,implementation_status
CLI-DEPLOY-001,CLI deploy,deployment target resolution,"As a deployer, I want `quick deploy` to resolve site, subdomain, output, and profile from flags/env/quick.json/config so it deploys the right folder.","Deploy plan applies deterministic precedence from CLI overrides, environment variables, site config, profile config, and defaults.",README.md:Target resolution; src/core/deploy_plan.c; src/core/site_config.c; src/core/profile_config.c,Use temp quick.json/profile/env combinations and inspect dry-run/plan output.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-002,CLI deploy,optional build command,"As a deployer, I want configured build commands to run before transfer so generated assets are published.","Deploy executes quick.json build unless `--no-build` is passed, and fails in build phase on errors.",docs/design/WORKFLOW.md:quick deploy; src/core/ops.h:QUICK_DEPLOY_PHASE_BUILD; src/core/ops.c,"Create temp site with build script, run deploy dry/local harness, assert build execution or skip.",documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-003,CLI deploy,dry run,"As a cautious deployer, I want `quick deploy --dry-run` to show the plan without mutating a host.",Dry run renders the resolved plan and avoids remote prepare/rsync/activate side effects.,opencli.json:quick deploy.options.dry-run; src/cli/commands_deploy.c; src/core/deploy_plan.c,Run dry-run against temp site/profile and assert no remote command runs.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-004,CLI deploy,folder deploy via SSH and rsync,"As a deployer, I want a folder deploy to stage files over rsync and then atomically activate via quickd.","Deploy calls quickd prepare, mirrors files with rsync, calls quickd activate, and reports release/url/counts.",README.md:quickd host daemon deploy steps; src/core/ops.h deploy phases; src/core/ops.c,Use local fake ssh/rsync or integration host harness to verify prepare/transfer/activate sequence.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-005,CLI deploy,ZIP deploy,"As a deployer, I want `quick deploy site.zip --site demo` to upload/extract a ZIP so prebuilt archives can be published.","Deploy recognizes ZIP path, stages it, invokes quickd extract-zip, then activates with extraction limits.",README.md:ZIP deploy surfaces; opencli.json:quick deploy.arguments; src/core/ops.h:zip_path; server/cmd/quickd/main.go:deploy extract-zip,Create ZIP fixture and run deploy against fake/local quickd extract path.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-006,CLI deploy,transfer toggles,"As a deployer, I want `--no-delete` and `--checksum` to tune rsync so I can avoid deletions or force checksum comparisons.",Deploy options map to rsync behavior; `--no-delete` avoids mirror deletion and `--checksum` passes checksum mode.,opencli.json:quick deploy.options.no-delete/checksum; src/core/ops.h:quick_deploy_options_t; src/core/ops.c,Run deploy with fake rsync and assert argv contains/excludes expected flags.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-007,CLI deploy,open after deploy,"As a deployer, I want `quick deploy --open` to open the deployed URL so I can inspect the result immediately.",Deploy command includes `--open`; successful result contains URL used by open behavior.,opencli.json:quick deploy.options.open; src/cli/commands_deploy.c; src/core/ops.h:quick_deploy_result_t.url,Run deploy with fake success/open command and assert URL open attempt/printed result.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-008,CLI deploy,bootstrap assistance,"As a first-time operator, I want `--bootstrap` to produce install guidance when quickd is missing so I can set up the host.",Deploy result can mark bootstrap_missing and return bootstrap_install_command instead of failing opaquely.,opencli.json:quick deploy.options.bootstrap; src/core/ops.h:bootstrap_missing/bootstrap_install_command; src/cli/commands_deploy.c,Simulate missing quickd over SSH and assert install command remediation is displayed.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-009,CLI deploy,publication guard,"As a deployer, I want deploy to warn/block when IAP/domain publication is incomplete unless I explicitly allow it.",Deploy result tracks publication_issue; CLI/TUI require `--allow-unpublished` or confirmation for incomplete publication.,opencli.json:quick deploy.options.allow-unpublished; src/core/ops.h:publication_issue; src/tui/tui_screen_deploy.c,Simulate host doctor/publication warning and assert deploy requires allow/confirmation.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DEPLOY-010,CLI deploy,overwrite friction,"As a deployer, I want overwriting a site last deployed by someone else to require deliberate confirmation so accidental clobbers are reduced.",Deploy result reports last_deployer/last_release and can require exact-site typed confirmation unless `--yes`/confirmed.,README.md:Philosophy safety valve; opencli.json:quick deploy.options.yes; src/core/ops.h:overwrite_confirmation_required,Simulate last deployer mismatch and assert TTY prompt/exact name or `--yes` behavior.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-SERVE-001,CLI serve,local dev server,"As a site developer, I want `quick serve --dev` to run a loopback quickd over my local folder so I can preview a site.","Serve dev maps to quickd dev mode, default port 9366, local directory, and path fallback `http://localhost:9366/~/site/`.",README.md:Try it locally; opencli.json:quick serve.options.dev/port; src/cli/commands_serve.c; server/cmd/quickd/main.go:serveCmd,"Launch dev server in temp site, curl health/static path, then stop.",documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by live local `quick serve --dev --identity dev@example.test` smoke using built quickd and curl against health/site/identity.",covered,,,,,,,,
CLI-SERVE-002,CLI serve,synthetic dev identity,"As a local developer, I want `--identity dev@example.test` to expose a predictable identity in dev.",Dev quickd uses identity.NewAdapter with dev identity and returns it from `/_quick/identity`.,README.md:Try it locally; opencli.json:quick serve.options.identity; server/internal/identity/dev.go,Launch dev server with identity and assert `/_quick/identity` JSON.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by live local `quick serve --dev --identity dev@example.test` smoke using built quickd and curl against health/site/identity.",covered,,,,,,,,
CLI-SERVE-003,CLI serve,remote API proxy for local dev,"As a developer, I want local static files to proxy `/_quick/*` API calls to a deployed site so I can test against host data.","Dev proxy requires remote API origin/token, loopback listen, proxies quick paths except sdk.js, and uses X-Quick-Dev-Token.",README.md:Config-gated extras Dev remote-API proxy; server/cmd/quickd/main.go:remote-api; server/internal/static/static.go:remoteAPIEnabled/proxyRemoteAPI,Start dev with fake remote API and assert API paths proxy while sdk.js remains local.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by live local `quick serve --dev --identity dev@example.test` smoke using built quickd and curl against health/site/identity.",covered,,,,,,,,
CLI-SERVE-004,CLI serve,host install guide,"As an operator, I want `quick serve install` to print a host setup plan so I can install quickd intentionally.",Serve install gathers profile/host/root/domain/IAP options and prints local install commands unless `--execute` is passed.,README.md:Quickstart; opencli.json:quick serve.options.host/remote-root/domain/iap/execute; src/cli/commands_serve.c,Run install without execute and assert plan is printed and no SSH mutation occurs.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by live local `quick serve --dev --identity dev@example.test` smoke using built quickd and curl against health/site/identity.",covered,,,,,,,,
CLI-SERVE-005,CLI serve,execute host install,"As an operator, I want `quick serve install --execute` to copy/install quickd and write profile metadata so the host is ready.","Execute mode is intended to copy local quickd over SSH, configure service/root/edge assets, and update local profile.",README.md:Quickstart; install/systemd/openquick.service; src/cli/commands_serve.c,Use fake ssh/scp or disposable host to verify install commands and config output.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Install plan and validation paths passed; live `--execute` against a real SSH/systemd host was not run in this local harness. | Additional fake-SSH smoke for `quick serve install --execute` passed: fake ssh/scp saw groupadd/scp/quickd doctor calls and the command wrote isolated profile config.",covered,,,,,,,,
CLI-SERVE-006,CLI serve,unsafe public listener guard,"As an operator, I want non-loopback `iap=none` to be rejected unless explicitly overridden so I do not expose anonymous sites by accident.",quickd ValidateServe rejects public anonymous/dev listener unless `--allow-public-unsafe` is passed.,README.md:IAP options; opencli.json:quick serve.options.allow-public-unsafe; server/internal/config/config.go:ValidateServe,"Run quickd/quick serve with public listen and no IAP; assert failure, then override behavior.",documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by live local `quick serve --dev --identity dev@example.test` smoke using built quickd and curl against health/site/identity.",covered,,,,,,,,
CLI-OPEN-001,CLI open,resolve site URL,"As a user, I want `quick open [site]` to resolve the deterministic URL for a site/profile so I can visit it.",Open command uses profile/site resolution and returns/opens URL from base domain or base URL/path fallback.,opencli.json:quick open; README.md:Sites normally resolve; src/cli/commands_open.c; src/core/deploy_plan.c,Run with temp profile and `--plain`; assert printed URL.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-OPEN-002,CLI open,copy or plain URL,"As a script or keyboard user, I want `--plain` and `--copy` to print/copy only the URL so it can be pasted or consumed.",Open command exposes `--plain` and `--copy`; plain suppresses decoration and copy writes to clipboard when available.,opencli.json:quick open.options.copy/plain; src/cli/commands_open.c,Run plain and copy in environment with fake clipboard command; assert behavior.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-LIST-001,CLI list,local site records,"As a user, I want `quick list` to show locally known deployments so I can see sites without contacting a host.",List op reads local deployment records and marks source/staleness details.,opencli.json:quick list; src/core/ops.h:quick_list_result_t; src/cli/commands_list.c,Seed local state and run list/json; assert rows.,documented,failed,"`zig build test` failed in CLI contract case ""OpenQuick init/deploy/open/list/doctor contracts"": `quick list --json` read the developer machine default OpenQuick profile/local deployment and returned nebula-lifecycle instead of the isolated expected empty list.",fixed,passed,"Fixed test isolation by giving the workflow contract case a temp XDG_CONFIG_HOME for init/deploy/open/list/doctor invocations; `zig build test` now passes (130 unit + 36 CLI contract tests). | Final retest evidence: `just test-all`, `zig build terminal-test`, Docker build, and container smoke passed after the isolation fix.",covered,,,,,,,,
CLI-LIST-002,CLI list,remote site records,"As an operator, I want `quick list --remote` to ask quickd for host rows so I can inspect actual deployed sites.",List with remote profile calls quickd list and merges remote JSON records.,opencli.json:quick list.options.remote/json; src/core/ops.c:quick_op_list; server/cmd/quickd/main.go:listCmd,Run against fake/local quickd admin root; assert remote rows and JSON shape.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor. Validated by rebuilt `docker build -t openquick:test .` plus `scripts/container-smoke.sh` (health, deploy/activate, static routing, capabilities, SDK, DB, uploads, path fallback, directory, quickd list, quick CLI, ZIP deploy, traversal/404).",covered,,,,,,,,
CLI-INFO-001,CLI info,application metadata,"As a user, I want `quick info` to show product metadata so I can identify the CLI.","Info command displays app name, version, and related metadata.",opencli.json:quick info; src/cli/commands_info.c; src/core/app_info.c,Run `quick info` and assert metadata.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed).",covered,,,,,,,,
CLI-DOCTOR-001,CLI doctor,local diagnostics,"As a user, I want `quick doctor` to validate local config/tools/site output so I can fix deploy blockers.",Doctor request/result includes grouped checks with status/detail/remediation and local checks.,opencli.json:quick doctor; src/core/ops.h:quick_doctor_*; src/cli/commands_doctor.c,Run doctor in temp site/config and assert checks and JSON envelope.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DOCTOR-002,CLI doctor,remote and deep diagnostics,"As an operator, I want `quick doctor --remote --deep` to include host checks and probes so I can find edge/IAP/deploy issues.",Doctor exposes remote/deep/profile/site flags and quickd doctor returns host/store/IAP/domain/AI/warehouse checks.,opencli.json:quick doctor.options.remote/deep; src/core/ops.c; server/cmd/quickd/main.go:doctorCmd,Run against local quickd root/fake SSH and assert remote/deep check coverage.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DELETE-001,CLI delete,remote site deletion confirmation,"As an operator, I want `quick delete SITE` to require confirmation before deleting remote site files/catalog rows.","Delete op retrieves site info, tracks confirmation_required, and quickd sites delete removes site.",opencli.json:quick delete; src/core/ops.h:quick_delete_request_t; server/cmd/quickd/main.go:sites delete,Run against disposable root with and without typed confirmation; assert deletion/failure.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DELETE-002,CLI delete,noninteractive delete JSON,"As an automation user, I want `quick delete SITE --yes --json` to delete deliberately and emit machine-readable status.",Delete command exposes `--yes` and `--json`; operation returns delete_json/deleted status.,opencli.json:quick delete.options.yes/json; src/cli/commands_openquick.c; src/core/ops.h,Run JSON delete in disposable root and assert structured output.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-PUBLIC-001,CLI public,show public-static status,"As an operator, I want `quick public SITE` to show whether a site is public-static so I understand anonymous access.",Public op has status action and remote site info includes is_public/have_public.,opencli.json:quick public; src/core/ops.h:quick_public_action_t; server/cmd/quickd/main.go:sites public,Run public status against root with catalog row; assert status output.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-PUBLIC-002,CLI public,enable public-static with scan,"As an operator, I want `quick public SITE on` to enable anonymous static assets only when the host allows it and the release has no quick API usage.",quickd rejects public on unless public_static.enabled is true and scan reports static-only.,README.md:Public static sites; server/cmd/quickd/main.go:sitesPublicCmd; server/internal/scan/scan.go,Deploy/static fixture then enable public; repeat with `/_quick` usage and assert rejection.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-PUBLIC-003,CLI public,disable public-static,"As an operator, I want `quick public SITE off` to turn anonymous static access back off.",quickd sets site public false and CLI supports state off with confirmation/yes.,opencli.json:quick public.arguments.state/options.yes; server/cmd/quickd/main.go:sitesPublicCmd,Enable then disable in disposable root; assert authenticated gate resumes.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-DOMAIN-001,CLI domain,list custom domains,"As an operator, I want `quick domain list` to list cataloged custom domains so I can audit host routing.",Domain command supports list and quickd returns domains from store.,opencli.json:quick domain; server/cmd/quickd/main.go:domains list; server/internal/store/store.go:ListDomains,Seed domains and run list/json; assert rows.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
